1,1079,83
2,1643,107
3,2598,138
4,962,73
5,1568,103
6,2620,135
7,1015,81
8,1594,105
9,2560,137
10,446,83
11,481,91
12,1465,107
13,452,75
14,488,83
15,1450,115
16,684,75
17,1232,111
18,2106,143
19,585,59
20,1454,99
21,691,75
22,1758,115
23,830,67
24,1779,107
25,894,67
26,2042,107
27,804,91
28,1823,130
29,882,99
30,1414,122
31,2502,154
32,849,84
33,1382,108
34,2492,140
35,1209,122
36,2414,162
37,837,72
38,2203,127
39,924,194
40,2192,233
41,647,75
42,1935,130
43,1156,83
44,1701,107
45,2510,130
46,923,67
47,1759,107
48,1036,107
49,1903,122
50,460,27
51,1176,67
52,761,75
53,1643,115
54,1117,91
55,2403,138
56,884,75
57,1877,115
58,1344,99
59,3005,154
60,801,75
61,1350,115
62,2523,154
63,604,51
64,1140,75
65,1826,99
66,1097,122
67,1773,138
68,2612,154
69,1125,91
70,1736,115
71,2548,138
72,911,75
73,2236,138
74,855,75
75,1443,99
76,2319,138
77,1526,91
78,2215,115
79,1227,154
80,2615,162
81,897,51
82,1893,91
83,1272,94
84,861,67
85,1849,107
86,1114,115
87,2161,154
88,1293,138
89,2621,178
90,828,59
91,2067,91
92,810,59
93,1390,83
94,2093,107
95,863,67
96,1082,107
97,2199,146
98,797,59
99,1836,99
100,845,75
101,1657,107
102,1107,107
103,2976,162
104,1013,91
105,1668,107
106,1503,91
107,1527,91
108,1638,154
109,1160,75
110,2266,115
111,1190,138
112,2259,178
113,679,408
114,1752,115
115,2057,178
116,800,59
117,1725,99
118,972,83
119,2058,138
120,944,59
121,2197,107
122,1505,75
123,2088,122
124,1728,115
125,2134,115
126,2281,115
127,2137,115
128,1857,130
129,264,43
130,2708,162
131,3002,218
132,926,88
133,1084,99
134,2836,218
135,2155,115
136,2662,115
137,1703,115
138,1127,67
139,2249,122
140,1112,59
141,2145,107
142,2180,138
143,3135,265
144,2999,154
145,3136,154
146,3263,154
147,990,76
148,1760,108
149,3525,156
150,4174,180
151,3322,170
